,MAE,RMSE,R2
MLP,0.1086573209118028,0.18073634037557637,0.7563842220879617
RandomForest,0.10662999189259649,0.19937002620467542,0.7035617945043071
XGBoost,0.12415822270400885,0.2017617450169255,0.6964067617801795
GradientBoosting,0.1255823461913383,0.20232139186452516,0.6947202117357102
LightGBM,0.12531924796337807,0.2023549766193659,0.6946188522332367
VotingEnsemble,0.16613366482935857,0.22556708284850102,0.620540098369021
ExtraTrees,0.18139436147904214,0.2440951926899991,0.5556421095393289
LinearRegression,0.2828082431176834,0.3476332889174483,0.09872534529265387
Ridge,0.28280824898898066,0.34763329117413083,0.0987253335912961
AdaBoost,0.3243692419210136,0.3613898086692967,0.02598365256902091
